Gender,AgeGroup,Program,Income,State,Device,OS,Browser,option,click
0,3,C,200447,NJ,Desktop,Apple,Chrome,A,0
0,3,D,473011,CA,Desktop,Windows,Chrome,A,0
0,4,D,337266,CA,Mobile,Apple,Chrome,A,0
1,1,E,167260,NJ,Desktop,Apple,Chrome,A,0
1,1,D,364587,CA,Tablet,Apple,Chrome,B,0
0,5,E,464538,CA,Desktop,Apple,Chrome,B,0
1,4,C,331022,CA,Mobile,Windows,Chrome,A,0
1,2,D,361953,NJ,Mobile,Apple,Chrome,A,0
0,4,A,328114,NJ,Mobile,Windows,Safari,B,0
1,5,E,424125,TX,Mobile,Windows,Chrome,B,0
1,1,C,275756,TX,Mobile,Windows,Chrome,A,0
1,2,D,265856,NJ,Mobile,Windows,Chrome,A,0
1,0,E,140527,CA,Tablet,Apple,Chrome,A,0
1,1,NA,328657,NY,Mobile,Windows,Safari,A,0
1,5,C,290685,NY,Mobile,Apple,Chrome,B,0
1,4,C,101115,CA,Desktop,Apple,Chrome,A,0
0,1,E,392853,CA,Mobile,Windows,Chrome,B,0
0,3,E,405535,NA,Desktop,Windows,Opera,B,1
0,4,A,298769,NY,Mobile,Apple,Chrome,A,0
0,3,A,480087,NJ,Desktop,Windows,Opera,B,0
1,5,C,159538,CA,Desktop,Apple,Chrome,B,0
1,3,E,321099,NY,Mobile,Apple,Opera,B,0
0,5,C,342123,CA,Mobile,Windows,Safari,B,0
1,3,E,317285,CA,Mobile,Apple,Chrome,A,0
0,3,NA,367865,NJ,Mobile,Windows,Safari,B,0
0,4,E,492934,NY,Desktop,Apple,Safari,B,0
1,4,D,285243,TX,Tablet,Apple,Chrome,B,0
0,4,NA,239417,CA,Tablet,Apple,Chrome,B,0
1,6,A,345828,CA,Mobile,Apple,Safari,B,0
1,1,E,64400,CA,Mobile,Windows,Safari,B,0
1,6,A,317839,CA,Mobile,Windows,Safari,B,0
1,4,D,66065,TX,Mobile,Windows,Safari,A,0
1,1,E,215774,NY,Mobile,Apple,Safari,B,1
1,4,C,450819,CA,Mobile,Windows,Chrome,B,0
1,4,D,417435,NY,Desktop,Apple,Chrome,A,0
0,3,E,399826,CA,Desktop,Windows,Chrome,B,0
0,3,A,55398,TX,Desktop,Apple,Chrome,A,0
0,2,D,275160,NY,Mobile,Apple,Chrome,A,0
1,1,C,155003,NA,Mobile,Apple,Opera,B,0
1,4,NA,139665,CA,Desktop,Windows,Safari,A,0
0,2,E,182085,NY,Desktop,Windows,Chrome,A,0
1,1,E,66265,NY,Mobile,Windows,Chrome,A,0
0,4,C,77669,NY,Desktop,Apple,Safari,B,0
0,5,E,326681,TX,Mobile,Apple,Chrome,B,0
1,6,D,232266,NY,Mobile,Windows,Safari,B,0
1,NA,A,440793,NY,Desktop,Windows,Chrome,A,0
0,3,B,123412,CA,Desktop,Windows,Opera,B,0
0,3,A,196132,NY,Mobile,Apple,Safari,A,0
0,0,E,187653,CA,Desktop,Windows,Safari,A,0
0,3,NA,433813,NJ,Desktop,Windows,Chrome,A,0
1,3,D,331502,TX,Mobile,Apple,Chrome,A,0
0,6,D,296084,NY,Mobile,Apple,Safari,B,0
1,6,D,366501,NY,Desktop,Windows,Chrome,A,0
1,3,D,272241,CA,Desktop,Windows,Chrome,B,0
0,3,C,230559,CA,Mobile,Windows,Chrome,B,0
0,4,A,359758,CA,Mobile,Windows,Chrome,A,0
1,3,E,274030,NY,Mobile,Windows,Safari,A,0
1,3,E,188080,CA,Desktop,Windows,Chrome,A,0
0,1,NA,83228,NY,Mobile,Windows,Safari,A,0
1,3,E,117689,NY,Mobile,Windows,Chrome,B,0
1,3,NA,293727,CA,Mobile,Apple,Chrome,B,0
1,2,C,113646,CA,Tablet,Apple,Safari,A,0
0,3,E,359213,NY,Mobile,Apple,Safari,A,0
1,2,E,417444,NY,Mobile,Windows,Safari,A,0
1,1,C,139653,NJ,Tablet,Windows,Safari,A,0
0,3,NA,155911,CA,Mobile,Apple,Chrome,B,1
0,2,C,190784,CA,Desktop,Windows,Opera,B,0
1,2,E,294113,NY,Mobile,Windows,Chrome,A,0
1,3,E,356715,TX,Mobile,Apple,Opera,A,0
1,4,D,271999,CA,Desktop,Apple,Safari,A,0
0,4,D,347633,NY,Desktop,Windows,Opera,A,0
1,3,D,227402,CA,Mobile,Windows,Chrome,B,0
0,3,A,239646,CA,Mobile,Windows,Chrome,A,0
